gx,gy,gz,del_t,ang
-357,55,-963,2742912856,3.1202995347492797
-63,380,-1525,2742918441,3.0475913124294354
-14,475,-1562,2742919008,3.0398874550117427
-310,56,-1031,2742928144,2.9917346247994416
-293,95,-988,2742928693,2.98904905332712
-248,170,-890,2742929788,2.983709070496329
-257,134,-1034,2742938192,2.939134596872388
-294,91,-1059,2742938748,2.9365950929816487
-309,76,-1062,2742939282,2.9342877437784627
-188,108,-1069,2742944980,2.9009956203463965
2017,89,-1875,2742960150,2.2841758557673555
2098,103,-1943,2742960706,2.2613364051122122
2189,104,-2029,2742961241,2.238525319514067
2259,91,-2080,2742961793,2.2143816045342612
2808,1,-2240,2742981148,1.2796542623509446
2843,-1,-2203,2742981702,1.2566499135386378
2875,5,-2165,2742982237,1.2344917761728036
2911,17,-2120,2742982797,1.211319579138337
3250,27,-1205,2742990751,0.8535732589769632
3277,25,-1118,2742991286,0.8319362615230431
3310,29,-1048,2742991844,0.8093926388434708
3341,39,-979,2742992379,0.7878271189403666
3590,19,-977,2743000137,0.5546627318911204
3627,18,-1109,2743000684,0.5501824912344081
5332,-113,-4224,2743010162,1.266072653898326
5513,-103,-4394,2743010739,1.323987107374826
5852,-143,-4684,2743011833,1.4421718766528828
7649,-130,-5675,2743020170,2.6197212101166514
7739,-152,-5649,2743020725,2.700185731570373
7849,-164,-5645,2743021260,2.7784493925782816
7929,-231,-5683,2743021820,2.861215617359093
8453,-332,-5599,2743029496,4.042470733819027
8435,-301,-5514,2743030060,4.129242470660714
8359,-315,-4657,2743039193,5.456260140502157
8370,-347,-4597,2743039802,5.545024494363565
8386,-383,-4488,2743040965,5.713715845485939
5031,-1064,-2990,2743049162,6.464219604649648
5162,-1583,-3104,2743049717,6.516879137485062
5329,-1132,-3079,2743050812,6.622360445661311
4320,21,-2251,2743058744,7.22177035535206
4269,-81,-2205,2743059279,7.261751635689795
4229,-156,-2169,2743059837,7.3030379765815745
4202,-177,-2143,2743060372,7.342335894742008
4417,-388,-2323,2743066451,7.816312941341885
4429,-395,-2315,2743066987,7.858187687049256
